tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,attachment-type,deployment-id,manipulation-type,tag-manufacturer-name,tag-mass,tag-model,tag-readout-method
kite29,kite29,Milvus migrans,,,harness,kite29,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
67,67,Milvus migrans,,,harness,67,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
kite6,kite6,Milvus migrans,,,harness,kite6,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
62,62,Milvus migrans,,,harness,62,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
37,37,Milvus migrans,,,harness,37,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
kite41,kite41,Milvus migrans,,,harness,kite41,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
11,11,Milvus migrans,,,harness,11,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
22,22,Milvus migrans,,,harness,22,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
kite34,kite34,Milvus migrans,,,harness,kite34,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
kite16b,kite16b,Milvus migrans,,,harness,kite16b,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
kite13,kite13,Milvus migrans,,,harness,kite13,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
16,16,Milvus migrans,,,harness,16,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
logger114,logger114,Milvus migrans,,,harness,logger114,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
kite31,kite31,Milvus migrans,,,harness,kite31,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
38,38,Milvus migrans,,,harness,38,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
kite27,kite27,Milvus migrans,,,harness,kite27,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
40,40,Milvus migrans,,,harness,40,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
7,7,Milvus migrans,,,harness,7,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
logger106,logger106,Milvus migrans,,,harness,logger106,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
logger102,logger102,Milvus migrans,,,harness,logger102,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
loggertest,loggertest,Milvus migrans,,,harness,loggertest,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
kite10,kite10,Milvus migrans,,,harness,kite10,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
39,39,Milvus migrans,,,harness,39,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
logger113,logger113,Milvus migrans,,,harness,logger113,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
kite37,kite37,Milvus migrans,,,harness,kite37,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
61,61,Milvus migrans,,,harness,61,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
