"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","MDPR","MDSF","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WT01","WT03","WT04","WT05","WT06"
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-01-01",,,,"0.00","0.0","0.0","39","21","32",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-01-02",,,,"0.00","0.0","0.0","48","30","39",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-01-03",,,,"0.02","0.0","0.0","56","39","45",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-01-04",,,,"1.65","0.5","1.0","46","32","43",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-01-05",,,,"0.00","0.0","0.0","44","12","12",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-01-06",,,,"0.00","0.0","0.0","24","10","22",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-01-07",,,,"0.00","0.2","0.0","36","22","27",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-01-08",,,,"0.00","0.0","0.0","34","22","26",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-01-09",,,,"0.00","0.0","0.0","40","24","31",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-01-10",,,,"0.80","0.0","0.0","40","30","36",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-01-11",,,,"0.08","0.0","0.0","45","34","37",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-01-12",,,,"0.00","0.0","0.0","38","24","24",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-01-13",,,,"0.00","0.0","0.0","24","3","9",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-01-14",,,,"0.00","0.0","0.0","10","0","0",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-01-15",,,,"0.00","0.0","0.0","13","-4","6",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-01-16",,,,"0.00","0.0","0.0","29","-10","-4",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-01-17",,,,"0.29","2.0","2.0","0","-9","-8",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-01-18",,,,"0.00","0.0","2.0","6","-13","-4",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-01-19",,,,"0.00","0.0","2.0","14","-12","-2",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-01-20",,,,"0.08","0.5","3.0","12","-4","11",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-01-21",,,,"0.00","0.0","3.0","14","2","2",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-01-22",,,,"0.00","0.0","3.0","8","-13","-13",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-01-23",,,,"0.00","0.0","3.0","15","-14","15",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-01-24",,,,"0.00","0.0","3.0","30","15","23",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-01-25",,,,"0.47","5.5","7.0","24","11","22",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-01-26",,,,"0.22","3.5","10.0","25","11","11",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-01-27",,,,"0.00","0.0","10.0","12","-2","-1",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-01-28",,,,"0.00","0.0","9.0","10","-2","0",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-01-29",,,,"0.00","0.0","9.0","22","-14","3",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-01-30",,,,"0.00","0.0","9.0","30","-6","22",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-01-31",,,,"0.29","5.0","13.0","34","21","27",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-02-01",,,,"0.00","0.0","12.0","35","23","27",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-02-02",,,,"0.00","0.0","12.0","23","-6","-6",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-02-03",,,,"0.00","0.0","12.0","24","-13","16",,,,,
