city,year,arrests,population
"New York, New York",1860,65809,813669
"Philadelphia, Pennsylvania",1860,32051,565529
"Brooklyn, New York",1860,15334,279122
"Chicago, Illinois",1860,NA,109206
"Boston, Massachusetts",1860,24466,177840
"New Orleans, Louisiana",1880,18342,216090
"New York, New York",1861,71130,826531
"Philadelphia, Pennsylvania",1861,NA,573678
"Brooklyn, New York",1861,16552,282520
"Chicago, Illinois",1861,NA,128183
"Boston, Massachusetts",1861,27297,185109
"St. Louis, Missouri",1861,6465,175782
"New York, New York",1862,82072,839393
"Philadelphia, Pennsylvania",1862,27576,581828
"Brooklyn, New York",1862,19397,285918
"Chicago, Illinois",1862,NA,147160
"Boston, Massachusetts",1862,25627,192377
"St. Louis, Missouri",1862,NA,190191
"Cincinnati, Ohio",1862,7126,172083
"San Francisco, California",1862,6957,75336
"Washington, DC",1862,22207,65930
"Detroit, Michigan",1862,1858,52411
"Lowell, Massachusetts",1862,1476,37647
"New York, New York",1863,61888,852255
"Philadelphia, Pennsylvania",1863,34050,589977
"Brooklyn, New York",1863,15324,289316
"Chicago, Illinois",1863,NA,166137
"Boston, Massachusetts",1863,28890,199646
"St. Louis, Missouri",1863,NA,205800
"Cincinnati, Ohio",1863,6906,177602
"San Francisco, California",1863,5422,84603
"Washington, DC",1863,23912,70737
"Detroit, Michigan",1863,1640,55806
"Providence, Rhode Island",1863,1427,56137
"New Haven, Connecticut",1863,1539,42739
"Lowell, Massachusetts",1863,1940,38057
"New York, New York",1864,54751,865117
"Philadelphia, Pennsylvania",1864,35244,598162
"Brooklyn, New York",1864,14820,292714
"Chicago, Illinois",1864,NA,185114
"Boston, Massachusetts",1864,12914,206915
"St. Louis, Missouri",1864,7385,220809
"Baltimore, Maryland",1864,12861,233391
"Cincinnati, Ohio",1864,7003,183122
"San Francisco, California",1864,6887,93870
"Washington, DC",1864,23545,75545
"Detroit, Michigan",1864,NA,NA
"Providence, Rhode Island",1864,2531,57961
"New Haven, Connecticut",1864,1838,43896
"Lowell, Massachusetts",1864,1825,38467
"New York, New York",1865,68873,877979
"Philadelphia, Pennsylvania",1865,39315,606276
"Brooklyn, New York",1865,19482,296112
"Chicago, Illinois",1865,NA,204091
"Boston, Massachusetts",1865,17881,214183
"St. Louis, Missouri",1865,NA,235818
"Baltimore, Maryland",1865,NA,NA
"Cincinnati, Ohio",1865,NA,188642
"San Francisco, California",1865,7619,103138
"Washington, DC",1865,26478,80353
"Detroit, Michigan",1865,3056,62596
"Providence, Rhode Island",1865,4057,59785
"New Haven, Connecticut",1865,1749,45054
"Lowell, Massachusetts",1865,1683,38877
"New York, New York",1866,75630,890841
"Philadelphia, Pennsylvania",1866,43226,614425
"Brooklyn, New York",1866,21957,316109
"Chicago, Illinois",1866,NA,242045
"Boston, Massachusetts",1866,17955,221452
"St. Louis, Missouri",1866,9839,250828
"Baltimore, Maryland",1866,NA,NA
"Cincinnati, Ohio",1866,NA,194161
"San Francisco, California",1866,9240,112405
"Washington, DC",1866,24542,85160
"Detroit, Michigan",1866,4096,65991
"Providence, Rhode Island",1866,4020,61609
"New Haven, Connecticut",1866,2023,46211
"Lowell, Massachusetts",1866,1673,39287
"New York, New York",1867,80532,903703
"Philadelphia, Pennsylvania",1867,43506,622574
"Brooklyn, New York",1867,21078,336107
"Chicago, Illinois",1867,23315,223068
"Boston, Massachusetts",1867,19120,228720
"St. Louis, Missouri",1867,11589,265837
"Baltimore, Maryland",1867,16588,250873
"Cincinnati, Ohio",1867,8208,199680
"San Francisco, California",1867,9123,121672
"Washington, DC",1867,20075,89968
"Detroit, Michigan",1867,3865,69386
"Providence, Rhode Island",1867,3919,63433
"New Haven, Connecticut",1867,2183,47368
"Lowell, Massachusetts",1867,1873,39697
"New York, New York",1868,78451,916565
"Philadelphia, Pennsylvania",1868,NA,630723
"Brooklyn, New York",1868,18700,356104
"Chicago, Illinois",1868,NA,261022
"Boston, Massachusetts",1868,19975,235989
"St. Louis, Missouri",1868,11589,280846
"Baltimore, Maryland",1868,21078,256367
"Cincinnati, Ohio",1868,9101,205200
"San Francisco, California",1868,9588,130939
"Washington, DC",1868,18834,94776
"Detroit, Michigan",1868,3619,72781
"Milwaukee, Wisconsin",1868,2001,66208
"Providence, Rhode Island",1868,5045,65256
"New Haven, Connecticut",1868,2096,48525
"Lowell, Massachusetts",1868,2028,40107
"New York, New York",1869,72984,929427
"Philadelphia, Pennsylvania",1869,38749,638873
"Brooklyn, New York",1869,18730,376102
"Chicago, Illinois",1869,NA,279999
"Boston, Massachusetts",1869,21842,243257
"St. Louis, Missouri",1869,13196,295855
"Baltimore, Maryland",1869,21543,261860
"Cincinnati, Ohio",1869,8291,210720
"San Francisco, California",1869,11882,140206
"Washington, DC",1869,17296,99584
"Detroit, Michigan",1869,3355,76176
"Milwaukee, Wisconsin",1869,1775,68828
"Providence, Rhode Island",1869,5044,67080
"New Haven, Connecticut",1869,2379,49683
"Lowell, Massachusetts",1869,1990,40517
"New York, New York",1870,83380,NA
"Philadelphia, Pennsylvania",1870,31717,647022
"Brooklyn, New York",1870,NA,396099
"Chicago, Illinois",1870,28078,298977
"Boston, Massachusetts",1870,28858,250526
"St. Louis, Missouri",1870,14068,310864
"Baltimore, Maryland",1870,8171,267354
"Cincinnati, Ohio",1870,7358,216239
"San Francisco, California",1870,13644,149473
"Newark, New Jersey",1870,4096,104789
"Washington, DC",1870,15603,109199
"Louisville, Kentucky",1870,5014,100753
"Detroit, Michigan",1870,3577,79577
"Milwaukee, Wisconsin",1870,1649,71448
"Providence, Rhode Island",1870,5639,68904
"New Haven, Connecticut",1870,2495,50840
"Lowell, Massachusetts",1870,2212,40928
"New York, New York",1871,75692,968691
"Philadelphia, Pennsylvania",1871,NA,667037
