case_id,week,weight,state,metro,region,ownhome,mstatus,employ,totper,adults,kids1217,kids611,kidsless6,parent,totalage,refage,educ,income,race,polparty,polviewrot,polview,ideologynet,regvote,sex,religion,ident,anycell,anyland,bornus,date,healthins,typeins,instype,he2z,partyln,partycomb,covi1a,covi1anet,covi1b,covi1bnet,covi1c,covi1cnet,covi1d,covi1dnet,covi2,covi3,covi4,covi4net,covi5,covi5net,covi6,covi6net,covi7,covi8,covi9,covi10,covi11,covi12rot,covi12
50000001,815,.4856,MD,Surburban (Metro),South,Owned,Widowed,Homemaker,Three,Three, , , , ,65+,65+,"Four year college or university degree/Bachelor.s degree (e.g., BS, BA, AB)",Refused,White Non-Hispanic,A Republican,d3 1-5 asked,Moderate,Moderate,Yes,Female,"Catholic, Roman Catholic",Landline,"Yes, respondent or someone in household has cell phone", , ,200414, , , , , ,Republican/leans Republican,Not so good,Not so good/poor,Poor,Not so good/poor,Excellent,Excellent/good,Not employed,Not employed,"Yes, stress, but not serious",No, , , , ,Somewhat worried,Very/somewhat worried,No, , ,"Yes, wore mask or face covering",By the end of July,slowly/quickly,Slowly
50000002,815,.6337,NC,Non-Metro,South,Rented,Divorced,Disabled/Handicapped,Two,Two, , , , ,50-64,45-64,"Some college, no degree (includes community college)","$15,000 but less than $25,000",White Non-Hispanic,A Republican,d3 5-1 asked,Very liberal,Liberal Net,Yes,Female,Baptist,Landline,"Yes, respondent or someone in household has cell phone", , ,200414,"Yes, covered by health insurance",Medicare, , , ,Republican/leans Republican,Good,Excellent/good,Excellent,Excellent/good,Excellent,Excellent/good,Not employed,Not employed,"Yes, serious stress",No, , , , ,Very worried,Very/somewhat worried,No, , ,Never left home,Later in 2020,quickly/slowly,Quickly
50000005,815,.5583,MD,Surburban (Metro),South,Rented,Divorced,Full-time,Four,One,One,Two,None,Yes,30-49,45-64,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)","$50,000 but less than $75,000",Black Non-Hispanic,A Republican,d3 1-5 asked,Somewhat conservative,Conservative Net,No,Female,Baptist,Landline,"Yes, respondent or someone in household has cell phone", , ,200414,"Yes, covered by health insurance",Plan through your or your spouse's employer, , , ,Republican/leans Republican,Not so good,Not so good/poor,Not so good,Not so good/poor,Good,Excellent/good,Good,Excellent/good,"Yes, serious stress",No, , , , ,Somewhat worried,Very/somewhat worried,Yes,Yes,No,"Yes, wore mask or face covering",Later in 2020,slowly/quickly,Slowly
50000008,815,.7364,VA,Center City (Metro),South,Owned,"Single, that is never married",Full-time,Two,Two, , , , ,18-29,18-29,Two year associate degree from a college or university,"$150,000 to under $200,000",White Non-Hispanic,A Republican,d3 1-5 asked,Somewhat conservative,Conservative Net,Yes,Male,Protestant,Landline,"Yes, respondent or someone in household has cell phone", , ,200414,"Yes, covered by health insurance",Plan you purchased yourself either from an insurance company or a state or federal marketplace,Directly from an insurance company,Not sure, ,Republican/leans Republican,Excellent,Excellent/good,Excellent,Excellent/good,Not so good,Not so good/poor,Excellent,Excellent/good,Not a source of stress,No, , , , ,Not too worried,Not too/not worried at all,No, , ,"No, did not wear mask or face covering",By the end of May,quickly/slowly,Slowly
50000010,815,.5062,PA,Non-Metro,North East,Owned,Divorced,Temporarily unemployed,Two,Two, , , , ,65+,65+,"Some college, no degree (includes community college)",Don't know,White Non-Hispanic,A Republican,d3 1-5 asked,Don't know,Don't know,Yes,Female,Presbyterian,Landline,"Yes, respondent or someone in household has cell phone", , ,200414, , , , , ,Republican/leans Republican,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,"Yes, serious stress",Yes,Very concerned,Very concerned/somewhat concerned,Very concerned,Very concerned/somewhat concerned,Not worried at all,Not too/not worried at all,No, , ,"Yes, wore mask or face covering",Don't know,slowly/quickly,Slowly
50000012,815,.6183,FL,Center City (Metro),South,Owned,Married,Retired,Two,Two, , , , ,65+,65+,"Some college, no degree (includes community college)","$40,000 but less than $50,000",White Non-Hispanic,A Republican,d3 5-1 asked,Somewhat conservative,Conservative Net,Yes,Male,Protestant,Landline,"Yes, respondent or someone in household has cell phone", , ,200414, , , , , ,Republican/leans Republican,Excellent,Excellent/good,Excellent,Excellent/good,Good,Excellent/good,Excellent,Excellent/good,Not a source of stress,No, , , , ,Somewhat worried,Very/somewhat worried,Yes,Yes,No,Never left home,Later in 2020,quickly/slowly,Quickly
50000016,815,.4971,FL,Surburban (Metro),South,Owned,Widowed,Retired,One,One, , , , ,65+,65+,High school graduate (Grade 12 with diploma or GED certificate),"$30,000 but less than $40,000",White Non-Hispanic,A Democrat,d3 1-5 asked,Very conservative,Conservative Net,Yes,Female,Baptist,Landline,"Yes, respondent or someone in household has cell phone", , ,200414, , , , , ,Democrat/leans Democrat,Good,Excellent/good,Good,Excellent/good,Good,Excellent/good,Not employed,Not employed,Not a source of stress,No, , , , ,Not too worried,Not too/not worried at all,No, , ,"Yes, wore mask or face covering",By the end of June,slowly/quickly,Quickly
50000017,815,1.6234,PA,Center City County (Metro),North East,Rented,Married,Full-time,Five,Four,One,None,None,Yes,30-49,30-44,High school graduate (Grade 12 with diploma or GED certificate),"$15,000 but less than $25,000",Asian/Chinese/Japanese,An Independent,d3 1-5 asked,Very conservative,Conservative Net,No,Male,"Catholic, Roman Catholic",Landline,"Yes, respondent or someone in household has cell phone", , ,200414,"No, not covered by health insurance", , , ,Democratic,Democrat/leans Democrat,Good,Excellent/good,Good,Excellent/good,Good,Excellent/good,Good,Excellent/good,"Yes, serious stress",No, , , , ,Very worried,Very/somewhat worried,No, , ,"Yes, wore mask or face covering",Don't know,quickly/slowly,Slowly
50000018,815,.6313,NC,Surburban (Metro),South,Owned,Divorced,Disabled/Handicapped,One,One, , , , ,65+,65+,High school graduate (Grade 12 with diploma or GED certificate),"Less than $15,000",White Non-Hispanic,Refused,d3 1-5 asked,Moderate,Moderate,No,Female,Atheist,Landline,"Yes, respondent or someone in household has cell phone", , ,200414, , , , ,Neither/other,Independent/other,Poor,Not so good/poor,Poor,Not so good/poor,Good,Excellent/good,Not employed,Not employed,Not a source of stress,Yes,Very concerned,Very concerned/somewhat concerned,Very concerned,Very concerned/somewhat concerned,Not too worried,Not too/not worried at all,No, , ,"Yes, wore mask or face covering",By the end of June,slowly/quickly,Slowly
50000019,815,.4609,PA,Surburban (Metro),North East,Owned,"Single, that is never married",Full-time,One,One, , , , ,50-64,45-64,"Four year college or university degree/Bachelor.s degree (e.g., BS, BA, AB)","$75,000 but less than $100,000",White Non-Hispanic,A Republican,d3 5-1 asked,Somewhat conservative,Conservative Net,Yes,Male,"Catholic, Roman Catholic",Landline,"Yes, respondent or someone in household has cell phone", , ,200414,"Yes, covered by health insurance",Plan through your or your spouse's employer, , , ,Republican/leans Republican,Good,Excellent/good,Excellent,Excellent/good,Poor,Not so good/poor,Excellent,Excellent/good,"Yes, stress, but not serious",Yes,Somewhat concerned,Very concerned/somewhat concerned,Not too concerned,Not too/not concerned at all,Not too worried,Not too/not worried at all,No, , ,"No, did not wear mask or face covering",Later in 2020,quickly/slowly,Quickly
