case_id,week,weight,state,metro,region,ownhome,mstatus,employ,totper,adults,kids1217,kids611,kidsless,parent,totalage,refage,educ,income,race,polparty,polviewr,polview,ideology,regvote,sex,religion,ident,anycell,anyland,bornus,date,healthin,typeins,instype,he2z,partyln,partycom,covi1b,covi1bne,covi1c,covi1cne,covi2,covi2net,covi3,covi4,covi4net,covi5,covi6a,covi6ane,covi6b,covi6bne,covi6c,covi6cne,covi6d,covi6dne,covi7,covi8,covi9
50000004,816,.3549,GA,Non-Metro,South,Owned,Widowed,Retired,One,One, , , , ,65+,65+,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)","$30,000 but less than $40,000",White Non-Hispanic,A Democrat,d3 5-1 asked,Somewhat conservative,Conservative Net,Yes,Female,Protestant,Landline,No, , ,200421, , , , , ,Democrat/leans Democrat,Poor,Not so good/poor,Poor,Not so good/poor,Very worried,Very/somewhat worried, , , , , , , , , , , , ,Not restrictive enough,Not restrictive enough,Support
50000006,816,.5608,WV,Non-Metro,South,Owned,Married,Part-time,Three,Two,None,None,One,Yes,30-49,30-44,"Some college, no degree (includes community college)","$75,000 but less than $100,000",White Non-Hispanic,A Democrat,d3 5-1 asked,Moderate,Moderate,Yes,Male,Agnostic,Landline,"Yes, respondent or someone in household has cell phone", , ,200421,"Yes, covered by health insurance",Plan through your or your spouse's employer, , , ,Democrat/leans Democrat,Not so good,Not so good/poor,Good,Excellent/good,Not too worried,Not too/not worried at all,Yes,Probably NOT use it,Definitely/probably NOT use it,Comfortable,A good amount,A great deal/a good amout,A great deal,A great deal/a good amout,A good amount,A great deal/a good amout,A good amount,A great deal/a good amout,Appropriate,Appropriate,Oppose
50000008,816,.3684,PA,Center City County (Metro),North East,Owned,Refused,Retired,One,One, , , , ,65+,65+,"Four year college or university degree/Bachelor.s degree (e.g., BS, BA, AB)","$75,000 but less than $100,000",Native American/American Indian/Alaska Native,An Independent,d3 5-1 asked,Somewhat conservative,Conservative Net,Yes,Male,Protestant,Landline,"Yes, respondent or someone in household has cell phone", , ,200421, , , , ,Republican,Republican/leans Republican,Excellent,Excellent/good,Not so good,Not so good/poor,Not worried at all,Not too/not worried at all,No, , , , , , , , , , , ,Too restrictive,Too restrictive,Support
50000009,816,.279,NC,Center City (Metro),South,Owned,Divorced,Retired,One,One, , , , ,65+,65+,"Four year college or university degree/Bachelor.s degree (e.g., BS, BA, AB)","$30,000 but less than $40,000",White Non-Hispanic,An Independent,d3 5-1 asked,Somewhat liberal,Liberal Net,Yes,Female,Protestant,Landline,"Yes, respondent or someone in household has cell phone", , ,200421, , , , ,Democratic,Democrat/leans Democrat,Not so good,Not so good/poor,Excellent,Excellent/good,Not too worried,Not too/not worried at all,No, , , , , , , , , , , ,Appropriate,Appropriate,Support
50000012,816,.7555,NJ,Surburban (Metro),North East,Owned,Married,Temporarily unemployed,Four,Two,One,One,None,Yes,50-64,45-64,Two year associate degree from a college or university,"$100,000 to under $150,000",White Non-Hispanic,A Democrat,d3 1-5 asked,Very liberal,Liberal Net,Yes,Male,Protestant,Landline,"Yes, respondent or someone in household has cell phone", , ,200421,"Yes, covered by health insurance",Plan through your or your spouse's employer, , , ,Democrat/leans Democrat,Not so good,Not so good/poor,Excellent,Excellent/good,Somewhat worried,Very/somewhat worried,Yes,Probably use it,Definitely/probably use it,Comfortable,A good amount,A great deal/a good amout,A great deal,A great deal/a good amout,A great deal,A great deal/a good amout,Not too much,Not too much/not at all,Appropriate,Appropriate,Oppose
50000013,816,.4772,NY,Non-Metro,North East,Owned,Widowed,Retired,Four,Four, , , , ,65+,65+,Two year associate degree from a college or university,"$30,000 but less than $40,000",White Non-Hispanic,An Independent,d3 5-1 asked,Somewhat conservative,Conservative Net,Yes,Female,"Catholic, Roman Catholic",Landline,"Yes, respondent or someone in household has cell phone", , ,200421, , , , ,Republican,Republican/leans Republican,Excellent,Excellent/good,Not so good,Not so good/poor,Very worried,Very/somewhat worried,No, , , , , , , , , , , ,Too restrictive,Not restrictive enough,Support
50000014,816,1.569,FL,Surburban (Metro),South,Owned,Married,Full-time,Two,Two, , , , ,30-49,30-44,High school graduate (Grade 12 with diploma or GED certificate),"$200,000 to under $250,000",White Non-Hispanic,A Republican,d3 5-1 asked,Somewhat conservative,Conservative Net,Yes,Female,"Catholic, Roman Catholic",Landline,"Yes, respondent or someone in household has cell phone", , ,200421,"Yes, covered by health insurance",Plan through your or your spouse's employer, , , ,Republican/leans Republican,Excellent,Excellent/good,Excellent,Excellent/good,Very worried,Very/somewhat worried,Yes,Definitely use it,Definitely/probably use it,Uncomfortable,Not too much,Not too much/not at all,Not too much,Not too much/not at all,Not too much,Not too much/not at all,A good amount,A great deal/a good amout,Appropriate,Appropriate,Support
50000015,816,1.3753,NC,Center City (Metro),South,Owned,Married,Homemaker,Three,Two,One,None,None,Yes,30-49,30-44,"Four year college or university degree/Bachelor.s degree (e.g., BS, BA, AB)","$200,000 to under $250,000",Refused,An Independent,d3 1-5 asked,Moderate,Moderate,Yes,Female,Baptist,Landline,"Yes, respondent or someone in household has cell phone", , ,200421,"Yes, covered by health insurance",Plan through your or your spouse's employer, , ,Democratic,Democrat/leans Democrat,Poor,Not so good/poor,Not so good,Not so good/poor,Very worried,Very/somewhat worried,Yes,Probably NOT use it,Definitely/probably NOT use it,Comfortable,Not at all,Not too much/not at all,Not too much,Not too much/not at all,A good amount,A great deal/a good amout,A good amount,A great deal/a good amout,Appropriate,Not restrictive enough,Oppose
50000016,816,1.2445,VA,Surburban (Metro),South,Owned,Married,Part-time,Two,Two, , , , ,65+,65+,High school graduate (Grade 12 with diploma or GED certificate),"$40,000 but less than $50,000",White Non-Hispanic,A Republican,d3 1-5 asked,Very conservative,Conservative Net,Yes,Male,"Catholic, Roman Catholic",Landline,"Yes, respondent or someone in household has cell phone", , ,200421, , , , , ,Republican/leans Republican,Excellent,Excellent/good,Not so good,Not so good/poor,Somewhat worried,Very/somewhat worried,Yes,Definitely NOT use it,Definitely/probably NOT use it,Uncomfortable,Not too much,Not too much/not at all,A good amount,A great deal/a good amout,Not too much,Not too much/not at all,A good amount,A great deal/a good amout,Too restrictive,Appropriate,Support
50000018,816,.8484,MI,Center City County (Metro),North Central,Owned,"Single, that is never married",Full-time,Six or more,Five,None,One,One,No,18-29,18-29,High school graduate (Grade 12 with diploma or GED certificate),"$100,000 to under $150,000",White Non-Hispanic,An Independent,d3 1-5 asked,Somewhat liberal,Liberal Net,No,Male,"Pentecostal (Assemblies of God, Four-Square Gospel)",Landline,"Yes, respondent or someone in household has cell phone", , ,200421,"Yes, covered by health insurance",Plan through your parents/mother/father, , ,Democratic,Democrat/leans Democrat,Good,Excellent/good,Excellent,Excellent/good,Not too worried,Not too/not worried at all,Yes,Definitely NOT use it,Definitely/probably NOT use it,Uncomfortable,Not too much,Not too much/not at all,Not at all,Not too much/not at all,Not too much,Not too much/not at all,Not too much,Not too much/not at all,Not restrictive enough,Appropriate,Oppose
